Date,number,day,visitors,vleague,visgame,home,hleague,homegame,visscore,homescore,lengthouts,nightday,latercomp,forfeit,protest,park,attendance,timemin,visline,homeline,visab,vish,visdoub,vistrip,vishr,visrbi,vissh,vissf,vishbp,visbb,visibb,visk,vissb,viscs,visgdb,visci,vislob,vispitchused,visier,vister,viswp,visbalks,visputout,visassist,viserror,vispb,visdp,vistp,homeab,homeh,homedoub,hometrip,homehr,homerbi,homesh,homesf,homehbp,homebb,homeibb,homek,homesb,homecs,homegdb,homeci,homelob,homepitchused,homeier,hometer,homewp,homebalks,homeputout,homeassist,homeerror,homepb,homedp,hometp
20030404,0,Fri,ARI,NL,4,COL,NL,4,1,2,51,D,,,,DEN02,48087,133,100,00001100x,29,3,1,0,1,1,1,0,0,0,0,9,0,0,0,0,2,3,2,2,0,0,24,10,0,0,0,0,28,5,2,0,1,2,1,0,1,1,0,5,1,0,0,0,5,3,1,1,0,0,27,8,0,0,0,0
20030404,0,Fri,CHN,NL,4,CIN,NL,4,9,10,51,N,,,,CIN09,29048,190,240120,01610011x,39,13,3,0,3,9,0,0,1,4,0,8,0,0,0,0,8,4,6,6,0,1,24,10,1,0,0,0,33,11,2,0,3,10,1,1,1,3,0,4,0,0,0,0,5,5,9,9,0,0,27,9,0,0,0,0
20030404,0,Fri,FLO,NL,4,ATL,NL,4,7,12,51,N,,,,ATL02,20642,197,3220,01010073x,39,13,0,0,4,7,0,0,0,4,0,5,2,0,0,0,9,5,10,10,0,0,24,11,3,0,0,0,41,16,5,0,2,12,1,0,0,3,0,8,0,0,0,0,9,5,7,7,0,0,27,13,0,0,0,0
20030404,0,Fri,HOU,NL,4,SLN,NL,4,6,5,72,N,,,,STL09,32661,214,5.00E+11,1.01E+11,43,7,1,0,2,6,0,0,0,4,0,6,0,0,0,0,5,6,5,5,0,0,36,16,0,0,3,0,44,13,3,0,3,5,0,0,1,4,0,5,0,3,2,0,8,5,1,1,0,0,36,16,1,0,0,0
20030404,0,Fri,PIT,NL,4,PHI,NL,4,9,1,54,D,,,,PHI12,59269,163,511100100,10000000,37,12,1,0,2,9,0,0,1,3,0,8,1,0,1,0,5,2,1,1,1,0,27,12,0,0,0,0,30,3,0,1,0,1,0,0,1,6,0,6,0,0,0,0,9,4,9,9,0,0,27,11,0,0,1,0
20030404,0,Fri,MON,NL,4,NYN,NL,4,0,4,51,N,,,,NYC17,18040,163,0,00021001x,32,5,1,0,0,0,0,0,0,3,0,13,0,0,1,0,8,3,4,4,0,0,24,6,0,0,1,0,34,13,4,0,1,4,0,0,0,0,0,6,0,2,1,0,6,4,0,0,0,0,27,10,1,0,1,0
20030404,0,Fri,LAN,NL,5,SDN,NL,5,2,4,51,N,,,,SAN01,23820,162,100010,00002101x,33,7,1,0,1,2,1,0,0,3,0,3,1,0,0,0,8,3,4,4,0,1,24,12,0,1,0,0,31,8,2,0,1,3,2,0,0,4,0,9,1,0,0,0,9,4,2,2,0,0,27,16,1,1,0,0
20030405,0,Sat,ANA,AL,5,OAK,AL,5,2,4,51,D,,,,OAK01,23436,153,10000010,10100020x,34,7,1,0,1,2,1,0,0,2,0,3,2,0,0,0,8,3,4,4,0,0,24,6,0,0,0,0,31,8,3,0,1,4,0,1,0,0,0,3,0,0,0,0,4,4,1,1,0,0,27,16,2,0,0,0
20030405,0,Sat,NYA,AL,5,TBA,AL,6,5,6,52,N,,,,STP01,20096,183,100013000,200010021,38,11,1,3,0,5,0,1,0,3,1,4,0,0,1,0,10,3,6,6,0,0,25,10,0,0,1,0,35,14,5,0,0,6,0,1,1,3,1,6,1,1,1,0,9,4,4,4,0,0,27,9,3,0,1,0
20030405,0,Sat,TOR,AL,5,MIN,AL,5,4,3,66,N,,,,MIN03,31421,209,10020000001,2000001000,43,10,4,0,1,4,0,0,1,8,1,7,0,0,0,0,15,6,3,3,0,0,33,14,1,0,1,0,42,10,4,1,0,3,0,0,1,4,2,5,1,0,1,0,11,5,4,4,0,1,33,11,0,0,0,0
